id,年度,施設名,キャッチコピー,公式記事URL,公式掲載区分,公式掲載確認日,参考住所,緯度,経度,参考uMap一致名称,参考情報注記,国土地理院検索住所,国土地理院結果住所,国土地理院経度,国土地理院緯度,国土地理院取得状態,国土地理院API_URL,場所分類,場所分類根拠
1,令和3年度,あっぷるはうす,カフェギャラリーの老舗、長い歴史を重ねた憩いの場所,https://artscouncil-saitama.jp/library/survey/apple-house/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市大宮区高鼻町2-285,35.916128,139.631413,あっぷるはうす,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市大宮区高鼻町2-285,埼玉県さいたま市大宮区高鼻町二丁目２８５番地,139.632248,35.915535,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E9%AB%98%E9%BC%BB%E7%94%BA2-285,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
2,令和3年度,ONVO SALON urawa 株式会社 ものくり商事,いろんな人と出会い、新たな自分を見つけることができる拠点,https://artscouncil-saitama.jp/library/survey/onvo-salon-urawa/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市浦和区仲町1-10-7 尾張屋第一ビル 5F,35.860261,139.653429,ONVO SALON urawa,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市浦和区仲町1-10-7 尾張屋第一ビル 5F,埼玉県さいたま市浦和区仲町一丁目１０番７号,139.653397,35.860275,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E4%BB%B2%E7%94%BA1-10-7%20%E5%B0%BE%E5%BC%B5%E5%B1%8B%E7%AC%AC%E4%B8%80%E3%83%93%E3%83%AB%205F,地域・居場所,地域の人が集まり活動できる居場所としての性格を主と判断
3,令和3年度,カフェ＆ギャラリー 空想庭園,集うみんながアーティスト。福祉とアートの彩りカフェ,https://artscouncil-saitama.jp/library/survey/kuusouteien/,調査済みリスト掲載,2026-08-02,,,,,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,,,,,住所なし,,飲食・交流,カフェ・飲食を介した交流の場としての性格を主と判断
4,令和3年度,Cafe＆Gallery温々（ぬくぬく）,温々には、古木のような大きな根っこが張っている,https://artscouncil-saitama.jp/library/survey/cafe-nukunuku/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市見沼区丸ヶ崎1856,35.962854,139.655617,Cafe＆Gallery温々,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市見沼区丸ヶ崎1856,埼玉県さいたま市見沼区丸ヶ崎１８５６番地,139.655121,35.96273,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E8%A6%8B%E6%B2%BC%E5%8C%BA%E4%B8%B8%E3%83%B6%E5%B4%8E1856,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
5,令和3年度,カフェギャラリー南風,沖縄文化と未来を担う子どもたちを守る蔵の家,https://artscouncil-saitama.jp/library/survey/minakaze/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市中央区本町東4丁目9-8,35.885286,139.62018,ギャラリー南風,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市中央区本町東4丁目9-8,埼玉県さいたま市中央区本町東四丁目９番８号,139.620193,35.885159,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9C%AC%E7%94%BA%E6%9D%B14%E4%B8%81%E7%9B%AE9-8,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
6,令和3年度,カフェレストランBAOBAB,アート作品を楽しみながら「安全・安心な地元食材」で「元気」を提供する秘密基地,https://artscouncil-saitama.jp/library/survey/baobab/,調査済みリスト掲載,2026-08-02,,,,,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,,,,,住所なし,,飲食・交流,カフェ・飲食を介した交流の場としての性格を主と判断
7,令和3年度,Gallery Pepin,「アートが日常にある」を叶えるギャラリー,https://artscouncil-saitama.jp/library/survey/gallery-pepin/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市緑区大牧1470-10,35.87677,139.70084,Gallery Pepin（ギャラリー ぺピン）,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市緑区大牧1470-10,埼玉県さいたま市緑区大牧１４７０番地,139.700836,35.87677,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E7%B7%91%E5%8C%BA%E5%A4%A7%E7%89%A71470-10,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
8,令和3年度,靴下と生活雑貨のお店「さきっちょ」,足元を見つめ直すきっかけを与える交流の場,https://artscouncil-saitama.jp/library/survey/sakitcho/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市浦和区岸町4-20-15,35.854757,139.655081,靴下と生活雑貨のお店「さきっちょ」2Fギャラリー,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市浦和区岸町4-20-15,埼玉県さいたま市浦和区岸町四丁目２０番１５号,139.655045,35.854786,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E5%B2%B8%E7%94%BA4-20-15,本・買い物,本・生活文化・作品等を選び購入できる場としての性格を主と判断
9,令和3年度,クラフト＆ギャラリー風画,縄文土器の奥深さを感じ、若きアーティストが活躍できる場所,https://artscouncil-saitama.jp/library/survey/fuga/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市西区内野本郷971−6,35.938305,139.59148,クラフト＆ギャラリー風画,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市西区内野本郷971−6,埼玉県さいたま市西区内野本郷９７１番地,139.591812,35.938427,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%86%85%E9%87%8E%E6%9C%AC%E9%83%B7971%E2%88%926,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
10,令和3年度,しばふハウス,「屋内版公園」まさかの無料！0歳から誰でも来られる「育児を街ぐるみで」がコンセプトの居場所,https://artscouncil-saitama.jp/library/survey/shibafu-house/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市中央区本町西４丁目１９−１５,35.889941,139.617965,しばふハウス,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市中央区本町西４丁目１９−１５,埼玉県さいたま市中央区本町西四丁目１９番１５号,139.618042,35.890079,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9C%AC%E7%94%BA%E8%A5%BF%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%99%E2%88%92%EF%BC%91%EF%BC%95,地域・居場所,地域の人が集まり活動できる居場所としての性格を主と判断
