全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,多目的トイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬・聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考,元データID,施設分類,調査年度,公式掲載区分,公式掲載確認日,座標取得元,座標取得URL,データ提供者,OSM照合状態,OSM要素種別,OSM_ID,OSM名称,OSM_URL,OSM距離_m,OSM主要分類,OSM住所,OSM営業時間,OSM電話番号,OSMウェブサイト,OSM車椅子対応,OSM運営者,OSM最終更新日時,OSM照合日,OSM照合根拠
111007,ACS0001,埼玉県さいたま市,あっぷるはうす,,,,,,,111031,,埼玉県さいたま市大宮区高鼻町2-285,埼玉県,さいたま市大宮区,,,,35.915535,139.632248,,,,,,,,,,,,,,,カフェギャラリーの老舗、長い歴史を重ねた憩いの場所,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/apple-house/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,1,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E9%AB%98%E9%BC%BB%E7%94%BA2-285,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0002,埼玉県さいたま市,ONVO SALON urawa 株式会社 ものくり商事,,,,,,,111074,,埼玉県さいたま市浦和区仲町1-10-7 尾張屋第一ビル 5F,埼玉県,さいたま市浦和区,,,,35.860275,139.653397,,,,,,,,,,,,,,,いろんな人と出会い、新たな自分を見つけることができる拠点,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/onvo-salon-urawa/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,2,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E4%BB%B2%E7%94%BA1-10-7%20%E5%B0%BE%E5%BC%B5%E5%B1%8B%E7%AC%AC%E4%B8%80%E3%83%93%E3%83%AB%205F,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0004,埼玉県さいたま市,Cafe＆Gallery温々（ぬくぬく）,,,,,,,111040,,埼玉県さいたま市見沼区丸ヶ崎1856,埼玉県,さいたま市見沼区,,,,35.96273,139.655121,,,,,,,,,,,,,,,温々には、古木のような大きな根っこが張っている,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/cafe-nukunuku/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,4,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E8%A6%8B%E6%B2%BC%E5%8C%BA%E4%B8%B8%E3%83%B6%E5%B4%8E1856,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0005,埼玉県さいたま市,カフェギャラリー南風,,,,,,,111058,,埼玉県さいたま市中央区本町東4丁目9-8,埼玉県,さいたま市中央区,,,,35.885159,139.620193,,,,,,,,,,,,,,,沖縄文化と未来を担う子どもたちを守る蔵の家,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/minakaze/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,5,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9C%AC%E7%94%BA%E6%9D%B14%E4%B8%81%E7%9B%AE9-8,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,推定一致,node,7418228785,cafeギャラリー南風　蔵の家,https://www.openstreetmap.org/node/7418228785,13,amenity=cafe,,,,,,,2024-07-13T20:54:36Z,2026-08-02,主要語「南風」が一致し、座標も近接（13m）
111007,ACS0007,埼玉県さいたま市,Gallery Pepin,,,,,,,111091,,埼玉県さいたま市緑区大牧1470-10,埼玉県,さいたま市緑区,,,,35.87677,139.700836,,,,,,,,,,,,,,,「アートが日常にある」を叶えるギャラリー,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/gallery-pepin/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,7,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E7%B7%91%E5%8C%BA%E5%A4%A7%E7%89%A71470-10,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0008,埼玉県さいたま市,靴下と生活雑貨のお店「さきっちょ」,,,,,,,111074,,埼玉県さいたま市浦和区岸町4-20-15,埼玉県,さいたま市浦和区,,,,35.854786,139.655045,,,,,,,,,,,,,,,足元を見つめ直すきっかけを与える交流の場,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/sakitcho/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,8,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E5%B2%B8%E7%94%BA4-20-15,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0009,埼玉県さいたま市,クラフト＆ギャラリー風画,,,,,,,111015,,埼玉県さいたま市西区内野本郷971−6,埼玉県,さいたま市西区,,,,35.938427,139.591812,,,,,,,,,,,,,,,縄文土器の奥深さを感じ、若きアーティストが活躍できる場所,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/fuga/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,9,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%86%85%E9%87%8E%E6%9C%AC%E9%83%B7971%E2%88%926,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0010,埼玉県さいたま市,しばふハウス,,,,,,,111058,,埼玉県さいたま市中央区本町西４丁目１９−１５,埼玉県,さいたま市中央区,,,,35.890079,139.618042,,,,,,,,,,,,,,,「屋内版公園」まさかの無料！0歳から誰でも来られる「育児を街ぐるみで」がコンセプトの居場所,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/shibafu-house/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,10,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E6%9C%AC%E7%94%BA%E8%A5%BF%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%99%E2%88%92%EF%BC%91%EF%BC%95,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0011,埼玉県さいたま市,STUDIO・４５,,,,,,,111074,,埼玉県さいたま市浦和区高砂4−3−1 高砂サニーコーポ103,埼玉県,さいたま市浦和区,,,,35.85677,139.647141,,,,,,,,,,,,,,,お父さんへの想いが詰まった居心地の良い地元コミュニティの憩いの場,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/studio45/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,11,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E9%AB%98%E7%A0%824%E2%88%923%E2%88%921%20%E9%AB%98%E7%A0%82%E3%82%B5%E3%83%8B%E3%83%BC%E3%82%B3%E3%83%BC%E3%83%9D103,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0012,埼玉県さいたま市,STAND Coffee コトコト＆Gallery-B,,,,,,,111082,,埼玉県さいたま市南区南本町2−7−12,埼玉県,さいたま市南区,,,,35.846893,139.665298,,,,,,,,,,,,,,,自然とアートが織り出すもの,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/stand-coffee-cotocoto-gallery/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,12,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8D%97%E5%8C%BA%E5%8D%97%E6%9C%AC%E7%94%BA2%E2%88%927%E2%88%9212,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,推定一致,node,12608987423,Stand coffee コトコト,https://www.openstreetmap.org/node/12608987423,8,amenity=cafe,1,,,,no,,2025-02-22T06:03:45Z,2026-08-02,主要名「Stand coffee コトコト」が一致し、座標も近接（8m）
